,,,,,,,,
,15,16,12,16,16,10,6,6
,18,19,15,14,10,17,6,10
,7,12,4,2,10,0,4,5
,14,18,10,17,15,17,13,5
,14,13,2,12,10,14,4,7
,19,20,12,13,10,12,5,7
,20,18,12,15,10,18,5,15
,20,13,20,19,10,15,16,13
,18,18,20,16,10,20,7,13
,14,11,5,14,10,8,6,9
,13,19,13,11,5,10,10,10
,17,18,14,20,20,20,7,19
,16,14,7,4,10,5,7,5
